Player,Hero,Time,Rating,% of Kills,Kills per 10,Deaths per 10,Kills/Deaths per 10,Kills - Deaths per 10,Ults per 10,Kills per Ult,Fights Fought,% Get First Kills,% Get First Death,% HS Kills,% Ult Kills,TT Charge First Ultimate (s/ult),TT Charge Ult (s/ult),Ult Hold Time (s/ult),Kills per 10,Kill Impact per 10,Impact / Kill per 10,Death per 10,Death Impact per 10,Impact / Death per 10,I/K - I/D,FUU Win - Fwin,% Ult outside of fight,PTK,PTD,F3K,F3D,timeSec
chipshajenvs Los Angeles Gladiators,Zenyatta,0:56:07,878,9.10%,2.32,5.52,0.42,-3.21,3.74,0,65,3.08%,12.31%,0.00%,0.00%,104.73,93.76,41.48,2.32,-0.14,-0.062,5.52,1.04,0.188,-0.25,-13.85,15.00%,9.09%,15.98%,11.54%,21.15%,3367
JJoNak vs Los Angeles Valiant,Zenyatta,0:57:25,877,9.80%,2.61,3.83,0.68,-1.22,3.48,0,68,2.94%,5.88%,0.00%,0.00%,112.1,109.65,45.65,2.61,1.1,0.421,3.83,0.14,0.038,0.383,-20.17,10.53%,9.80%,18.18%,19.51%,24.39%,3445
Freefeel vs Boston Uprising,Zenyatta,0:32:54,858,10.90%,1.82,6.99,0.26,-5.17,3.65,0,43,4.65%,4.65%,0.00%,0.00%,99.29,85.33,50.58,1.82,-0.51,-0.281,6.99,-0.9,-0.129,-0.152,-6.1,10.00%,10.91%,15.33%,6.25%,40.63%,1974
 Shazvs San Francisco Shock,Zenyatta,0:40:22,855,8.50%,2.73,5.45,0.5,-2.73,4.21,0,56,3.57%,8.93%,0.00%,0.00%,81.33,87,32.71,2.73,0.89,0.327,5.45,3.79,0.696,-0.369,-9.2,5.88%,8.46%,19.47%,11.63%,27.91%,2422
 Shazvs London Spitfire,Zenyatta,0:47:21,852,13.90%,2.96,5.07,0.58,-2.11,4.01,0,56,5.36%,12.50%,0.00%,0.00%,126.75,109.95,21.37,2.96,0.75,0.253,5.07,3.41,0.673,-0.42,-14.42,15.79%,13.86%,16.33%,8.82%,38.24%,2841
 Nekovs Philadelphia Fusion,Zenyatta,0:43:23,833,7.70%,2.07,4.84,0.43,-2.77,3.23,0,57,5.26%,7.02%,0.00%,0.00%,104.75,103.57,62.43,2.07,-0.03,-0.016,4.84,0.23,0.048,-0.064,-23.98,0.00%,7.69%,13.82%,7.69%,20.51%,2603
 Shazvs New York Excelsior,Zenyatta,0:58:44,828,7.30%,2.04,5.62,0.36,-3.58,4.77,0,74,2.70%,8.11%,0.00%,0.00%,96.6,93.36,21.36,2.04,1.17,0.574,5.62,0.89,0.159,0.415,0.07,0.00%,7.27%,18.64%,12.77%,19.15%,3524
Aimgod vs London Spitfire,Zenyatta,0:58:06,823,9.20%,2.24,5.68,0.39,-3.44,4.3,0,72,4.17%,12.50%,0.00%,0.00%,110.5,94.04,38.96,2.24,0.28,0.123,5.68,0.71,0.124,-0.001,0,9.52%,9.15%,18.13%,13.33%,35.56%,3486
Boomboxvs New York Excelsior,Zenyatta,0:49:16,812,11.10%,2.44,5.68,0.43,-3.25,3.25,0,66,3.03%,12.12%,0.00%,0.00%,115.38,104.81,58.19,2.44,0.23,0.093,5.68,2.26,0.397,-0.304,-3.25,6.25%,11.11%,15.73%,9.52%,33.33%,2956
Zuppeh vs New York Excelsior,Zenyatta,0:43:30,811,10.10%,2.3,6.44,0.36,-4.14,3.91,0,57,0.00%,8.77%,0.00%,0.00%,107.1,97.06,30.35,2.3,-0.26,-0.112,6.44,1.12,0.174,-0.286,1.34,0.00%,10.10%,16.09%,10.81%,32.43%,2610
Rawkus vs Los Angeles Valiant,Zenyatta,0:56:43,811,7.70%,2.29,6.35,0.36,-4.06,4.41,0,70,4.29%,7.14%,0.00%,0.00%,98.89,93.04,35.48,2.29,0.71,0.31,6.35,0.91,0.143,0.167,-14.14,13.04%,7.74%,18.18%,13.21%,22.64%,3403
Rawkus vs San Francisco Shock,Zenyatta,0:43:56,810,9.10%,1.59,5.69,0.28,-4.1,3.64,0,60,3.33%,6.67%,0.00%,0.00%,124.38,100.75,47.81,1.59,0.12,0.074,5.69,0.65,0.113,-0.039,-13.48,31.25%,9.09%,14.71%,5.71%,17.14%,2636
Zuppeh vs Los Angeles Valiant,Zenyatta,0:57:35,800,10.50%,2.78,6.08,0.46,-3.3,4.52,0,84,3.57%,11.90%,0.00%,0.00%,110.22,99.38,17.81,2.78,0.67,0.24,6.08,3.73,0.614,-0.374,13.35,12.00%,10.46%,17.86%,10.91%,34.55%,3455
 Karivvs New York Excelsior,Zenyatta,0:54:22,796,10.30%,2.21,4.41,0.5,-2.21,2.58,0,64,3.13%,6.25%,0.00%,0.00%,135.67,115.29,92.57,2.21,0.6,0.272,4.41,-0.55,-0.125,0.397,2.26,15.38%,10.34%,17.39%,8.11%,16.22%,3262
